学校/培养单位,省份,城市,层次,培养单位,博士类型,招生方式,最近政策年份,最近通知,通知日期,通知链接,政策摘要,名额说明,匹配评分,档位,状态,来源等级,核验日期
南京医科大学,江苏,南京,双一流建设高校（以官方最新认定为准）；省部共建医学平台,第一附属医院及其他附属医院；医学影像相关培养单位,学博；专博,申请-考核/硕博连读（按批次）,2026,南京医科大学2026年全日制博士研究生招生补充第三批次报考通知,2026-06-22,https://yjszs.njmu.edu.cn/10188/listm.htm,2026年仍有补充批次与专项计划通知，说明需要持续监控而不是只看首轮简章。,专项和补充计划按通知公布；导师个人名额需确认。,85,匹配,监控中,A,2026-07-25
南京大学医学院/鼓楼医院,江苏,南京,医学博士培养单位,南京鼓楼医院,学博；专博（以目录为准）,申请-考核制,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://grawww.nju.edu.cn/,临床与医工交叉导师资源突出，需核对超声方向年度目录。,导师个人名额未公开，建议邮件确认。,84,匹配,监控中,A,2026-07-25
中国科学院深圳先进技术研究院,广东,深圳,中国科学院科研平台,医学成像科学与技术系统重点实验室等,学博,申请-考核/统考（以国科大年度政策为准）,2026,2026招生信息需以深圳先进院/国科大招生公告为准,,https://siat.cas.cn/yjsjy2016/zsjs2016/,超声分子影像、合成生物学、纳米诊疗与转化研究强，但不是临床医学专博路径。,课题组名额需直接确认。,83,匹配,监控中,B,2026-07-25
东南大学,江苏,南京,985；211；双一流,医学院；附属中大医院；生物科学与医学工程学院,学博；专博（以目录为准）,申请-考核制；硕博连读；直博,2026,东南大学2026年部分全日制博士研究生（含专项）招生报名通知,2026-06-02,https://yzb.seu.edu.cn/2026/0602/c6677a569837/page.htm,2026补充选拔包括硕博连读和申请考核，部分计划要求报名前确认余额并取得导师同意。医工交叉方向值得重点关注。,补充通知可能列出专业/计划数；导师个人常需确认。,83,匹配,监控中,A,2026-07-25
上海大学（纳米医学/超声诊疗交叉）,上海,上海,211；双一流,材料、生物医学工程与纳米医学相关团队,学博,申请-考核/普通招考（以年度政策为准）,2026,2026招生信息需以上海大学研招网为准,,https://yjszs.shu.edu.cn/,纳米材料和超声诊疗基础研究高度匹配，但临床训练和医学博士学位衔接需谨慎评估。,导师个人名额未公开，建议邮件确认。,82,匹配,监控中,B,2026-07-25
复旦大学上海医学院,上海,上海,985；211；双一流,临床医学院；中山医院；华山医院等附属医院,学博；专博,申请-考核制；硕博连读,2026,复旦大学临床医学院2026年博士研究生招生“申请-考核”制选拔办法,2025-11-07,https://gs-shmc.fudan.edu.cn/86/ca/c39524a755402/page.htm,2026临床医学院发布申请-考核制办法；临床/口腔专业学位博士为全日制培养。2027政策尚未发布。,导师个人名额未公开，建议邮件确认。,82,冲刺,监控中,A,2026-07-25
北京大学医学部,北京,北京,985；211；双一流,北京大学人民医院；北京大学未来技术学院/工学院交叉方向；北京大学第一医院；北京大学第三医院；北京大学肿瘤医院；北京大学药学院/未来技术学院,学博；专博,申请-考核制；硕博连读；直博,2026,北京大学医学部2026年博士研究生招生简章,2025-10-10,https://yjsy.bjmu.edu.cn/zslq/zsjzjml/c1c194ca3d6b4e319c16c22006fb7d26.htm,覆盖北大医学部多个附属医院及超声、药学、医工交叉导师；须按培养单位和年度目录分别核验。,导师个人名额未公开，建议邮件确认。,82,冲刺,监控中,A,2026-07-25
电子科技大学医学院/附属肿瘤医院,四川,成都,985；211；双一流；医工交叉平台,四川省肿瘤医院/电子科技大学附属肿瘤医院,学博；专博（以目录为准）,申请-考核/普通招考（以年度政策为准）,2026,2026招生信息需以电子科技大学研招网为准,,https://yz.uestc.edu.cn/,肿瘤超声、超声分子影像、介入消融与医工交叉平台较强。,导师个人名额未公开，建议邮件确认。,82,匹配,监控中,B,2026-07-25
山西医科大学,山西,太原,医学博士培养单位,医学影像学院；第一医院,学博；专博,申请-考核/普通招考（以年度章程为准）,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://www.sxmu.edu.cn/yjs/,官方导师页面可核验超声学博和专博导师。,导师个人名额未公开，建议邮件确认。,82,匹配,监控中,A,2026-07-25
大连医科大学,辽宁,大连,医学博士培养单位,医学影像学院；附属第一医院；附属第二医院,专博；学博（以目录为准）,申请-考核制,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://yjs.dmu.edu.cn/,官方页面确认超声医学专博培养与导师。,导师个人名额未公开，建议邮件确认。,82,匹配,监控中,A,2026-07-25
哈尔滨医科大学,黑龙江,哈尔滨,医学博士培养单位,附属第二医院；附属第四医院；附属肿瘤医院,学博；专博（以目录为准）,申请-考核制/普通招考（以年度章程为准）,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://yjsgl.hrbmu.edu.cn/,多个附属医院公开有超声医学博士生导师，需逐年核对招生目录。,导师个人名额未公开，建议邮件确认。,82,匹配,监控中,A,2026-07-25
华中科技大学同济医学院附属协和医院,湖北,武汉,985；211；双一流；国家级临床平台,第一临床学院（协和医院）,学博；专博,申请-考核制；临床转博；硕博连读/直博,2026,华中科技大学2026年博士研究生招生简章（含协和医院报考说明）,2026-01-05,https://www.whuh.com/yxjy/yjsjy/zsxx.htm,2026学校博士招生包含申请-考核、硕博连读/临床转博和直博；协和医院另有学科联系方式与期刊认定目录。,学校总计划公开但导师个人名额未公开。,81,冲刺,监控中,A,2026-07-25
西安交通大学,陕西,西安,985；211；双一流,第一附属医院；生命科学与技术学院/生物医学工程方向,学博；专博（以目录为准）,申请-考核；硕博连读；直博,2026,2026招生信息需以西安交通大学研招网为准,,https://yz.xjtu.edu.cn/,生物医学超声、聚焦超声、声空化与超声操控方向适合你的材料与超声治疗经历。,导师个人名额未公开，建议邮件确认。,81,匹配,监控中,B,2026-07-25
南开大学医学院及合作医院,天津,天津,985；211；双一流,解放军总医院相关导师合作；天津市第三中心医院等,学博；专博（以目录为准）,申请-考核/普通招考（以年度政策为准）,2026,2026招生信息需以南开大学研究生招生网为准,,https://graduate.nankai.edu.cn/,介入超声、肿瘤消融、影像导航与超声造影方向可重点关注。,导师个人名额未公开，建议邮件确认。,80,匹配,监控中,B,2026-07-25
浙江大学医学院,浙江,杭州,985；211；双一流,医学院及附属医院,学博；专博,普通招考；硕博连读；直博（具体实行申请评价）,2026,浙江大学医学院2026年博士研究生招生简章,2025-10-17,https://www.cmm.zju.edu.cn/2025/1017/c58749a3092933/pagem.htm,2026医学院招生简章已发布；普通招考按学院要求提交材料，报名阶段通常先选学院/专业/方向。2027政策待发布。,导师个人名额未公开，建议邮件确认。,80,冲刺,监控中,A,2026-07-25
华中科技大学同济医学院附属同济医院,湖北,武汉,985；211；双一流；国家级临床平台,第二临床学院（同济医院）,学博；专博,申请-考核制；硕博连读/临床转博；直博,2026,同济医院2026年具有研究生导师任职资格名单,2025-12-19,https://www.tjh.com.cn/channels/296.html,同济医院会发布年度导师任职资格名单；这是判断导师当年是否可招生的重要来源。,导师个人名额未公开，建议邮件确认。,80,冲刺,监控中,A,2026-07-25
福州大学医学院/附属省立医院,福建,福州,医学/医工博士培养平台,医学院；附属省立医院,学博；专博（以目录为准）,申请-考核制/普通招考（以年度章程为准）,2026,2026博士招生信息（以官方入口为准）,2026,https://yjsy.fzu.edu.cn/,有超声新技术和介入超声导师以生物与医药博士方向招生。,导师个人名额未公开，建议邮件确认。,80,匹配,监控中,A,2026-07-25
南方医科大学,广东,广州,省部共建重点医学高校,南方医院、珠江医院等,学博；专博,申请-考核/普通招考（以年度政策为准）,2026,2026招生信息需以南方医科大学研招网为准,,https://portal.smu.edu.cn/yzw/,肿瘤超声、介入和临床资源较强，珠三角就业平台有优势。,导师个人名额未公开，建议邮件确认。,79,匹配,监控中,B,2026-07-25
广东医科大学,广东,湛江/东莞,医学/医工博士培养平台,第一临床医学院；第二临床医学院及附属医院,学博；专博（以目录为准）,申请-考核制/普通招考（以年度章程为准）,2026,2026博士招生信息（以官方入口为准）,2026,https://yjsxy.gdmu.edu.cn/,2026年全日制博士申请-考核目录已发布，超声相关导师需持续从附件核验。,导师个人名额未公开，建议邮件确认。,79,匹配,监控中,A,2026-07-25
北京协和医学院,北京,北京,双一流；国家级医学平台,中国医学科学院相关研究所；中日友好医院超声医学科；中日友好医院（部分导师在协和导师库）；北京协和医院；北京协和医院超声医学科,学博；专博,申请-考核制,2026,北京协和医学院2026年“申请-考核”博士研究生招生简章,2025-11-13,https://graduate.pumc.edu.cn/zsw/info/1004/2130.htm,2026年实行申请-考核，报名系统于2025-12-01 10:00至2025-12-26 10:00开放；导师目录另行公布。2027政策尚未发布。,学校计划以教育部最终下达为准；导师个人名额未公开。,78,冲刺,监控中,A,2026-07-25
首都医科大学,北京,北京,北京市重点医学高校,北京儿童医院；北京友谊医院；北京同仁医院；北京天坛医院；北京妇产医院；北京安贞医院；北京朝阳医院；宣武医院；宣武医院、北京友谊医院、北京天坛医院等附属医院,学博；专博,申请-考核/普通招考（以年度政策为准）,2026,2026招生信息需以首都医科大学研究生院为准,,https://yjsh.ccmu.edu.cn/zsxx/,附属医院多、临床平台强，需逐院筛选超声导师和专业代码。,导师个人名额未公开，建议邮件确认。,78,冲刺,监控中,B,2026-07-25
安徽医科大学,安徽,合肥,医学/医工博士培养平台,各临床医学院及附属医院,学博；专博（以目录为准）,申请-考核制/普通招考（以年度章程为准）,2026,2026博士招生信息（以官方入口为准）,2026,https://yjsxy.ahmu.edu.cn/,2026年发布博士招生导师资格名单，超声方向需从附件和培养单位继续核验。,导师个人名额未公开，建议邮件确认。,78,匹配,监控中,A,2026-07-25
南昌大学医学院及附属医院,江西,南昌,双一流；部省合建,第一附属医院超声医学科,学博；专博,申请-考核制,2026,南昌大学2026年博士研究生招生简章,2025-11-07,https://yjsy.ncu.edu.cn/info/1012/23996.htm,全校博士全面实行申请-考核制，临床专博须提交执业医师资格证明。,培养单位/导师名额以年度目录为准。,78,匹配,持续监控,A,2026-07-25
内蒙古医科大学,内蒙古,呼和浩特,医学博士培养单位,附属医院及临床医学院,专博,申请-考核/普通招考（以年度章程为准）,2026,2026年博士招生信息/目录（以官方入口为准）,2025-2026,https://yjsxy.immu.edu.cn/,年度目录出现105124超声医学，导师与名额需逐年复核。,导师个人名额未公开，建议邮件确认。,77,匹配,监控中,A,2026-07-25
广西医科大学及附属医院,广西,南宁,省部共建；区域医学中心,第一附属医院；生命科学研究院,学博；专博待目录确认,申请-考核制,2026,广西医科大学2026年博士招生信息入口,2026,https://yjs.gxmu.edu.cn/,区域超声与声动力/AI交叉方向值得关注。,培养单位/导师名额以年度目录为准。,77,匹配,持续监控,A,2026-07-25
武汉大学医学部及附属医院,湖北,武汉,985；211；双一流,人民医院、中南医院等,学博；专博,申请-考核/硕博连读（以年度政策为准）,2026,2026招生信息需以武汉大学研究生院及培养单位为准,,https://gs.whu.edu.cn/zsxx.htm,心脏超声、介入和临床平台可关注，纳米材料匹配度需看具体团队。,导师个人名额未公开，建议邮件确认。,77,匹配,监控中,B,2026-07-25
清华大学（医学院/清华长庚/医工交叉）,北京,北京,985；211；双一流,北京清华长庚医院；医学院；生物医学工程相关院系,学博；专博（以目录为准）,申请-审核/综合考核；硕博连读；直博,2026,2026招生信息需以清华研招网及院系细则为准,,https://yz.tsinghua.edu.cn/,2027政策未发布；医学院、医院与生物医学工程方向需分院系监控。,导师个人名额未公开，建议邮件确认。,76,冲刺,待核实,B,2026-07-25
深圳大学医学部,广东,深圳,双一流建设高校；医工交叉,生物医学工程学院,工学学博,申请-考核制；硕博连读,2026,深圳大学2026年博士研究生招生章程与专业目录,2026-01-22,https://yz.szu.edu.cn/bszs/jzml.htm,适合医学超声工程、成像硬件和算法方向，学位通常非临床医学。,培养单位/导师名额以年度目录为准。,75,匹配,持续监控,A,2026-07-25
香港中文大学（深圳）医学院及合作医院,广东,深圳,国际化医学院；合作培养,深圳市龙岗区人民医院集团,联合培养/学位类型待确认,以年度项目为准,2026,医学院导师与招生入口,2026,https://med.cuhk.edu.cn/,部分临床客座教师标注博士生导师，但具体招生归属和学位类型必须单独确认。,培养单位/导师名额以年度目录为准。,73,匹配,持续监控,A,2026-07-25
河北医科大学及附属医院,河北,石家庄,省属重点医科大学,第二医院超声科；医学影像学院,学博；专博待目录确认,申请-考核制/年度通知为准,2026,河北医科大学博士招生入口,2026,https://gschool.hebmu.edu.cn/,超声博士培养信息公开较分散，需要导师页与年度目录交叉核验。,培养单位/导师名额以年度目录为准。,70,匹配,持续监控,A,2026-07-25
